months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
7.8,50,440.812772519,33.0475510328,0.1,2500,522.702434511,146.93759084,3,37.4847929699
7.9,50,429.423768539,29.355441339,0.1,2500,537.396193595,143.14125618,3,34.1800378666
8,50,418.045187055,26.1232204539,0.1,2500,551.710319213,139.348395685,3,31.2444937327
8.1,50,406.722669532,23.2907066063,0.1,2500,565.645158781,135.574223177,3,28.6321716874
8.2,50,395.494317874,20.8054539971,0.1,2500,579.202581099,131.831439291,3,26.3031010267
8.3,50,384.391719345,18.6218996088,0.1,2500,592.385725028,128.130573115,3,24.222555627
8.4,50,373.440851994,16.7005480105,0.1,2500,605.198782339,124.480283998,3,22.3603656661
8.5,50,362.662878396,15.0072153865,0.1,2500,617.646810739,120.887626132,3,20.6903108651
8.6,50,352.074837321,13.5123430807,0.1,2500,629.735573352,117.358279107,3,19.1895893264
8.7,50,341.690243718,12.1903837475,0.1,2500,641.471401263,113.896747906,3,17.8383550184
8.8,50,331.519607303,11.0192586547,0.1,2500,652.861076054,110.506535768,3,16.6193166436
8.9,50,321.570879591,9.97988200298,0.1,2500,663.911729631,107.190293197,3,15.5173907781
9,50,311.849838472,9.05574669722,0.1,2500,674.63075895,103.949946157,3,14.5194025778
